Sample_ID,N/NN,PlantSP,count,code,species,genus,family,order,class,Size_mm
NATIVE_EPICAN_1,N,EPICAN,1,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_EPICAN_1,N,EPICAN,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_EPICAN_1,N,EPICAN,1,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NATIVE_EPICAN_1,N,EPICAN,1,UR insect,UK,UK,UK,UK,Insecta,Varies
NATIVE_EPICAN_1,N,EPICAN,2,BQ,UK,UK,UK,Araneae,Arachnida,1
NATIVE_EPICAN_2,N,EPICAN,5,AW,UK,UK,CICADELLIDAE,Hemiptera,Insecta,2.5
NATIVE_EPICAN_2,N,EPICAN,2,AY,UK,UK,ICHNEUMONIDAE,Hymenoptera,Insecta,1.5
NATIVE_EPICAN_2,N,EPICAN,2,BR,UK,UK,SPHINGIDAE,LEPIDOPTERA,Insecta,varies
NATIVE_ERIFAS_1,N,ERIFAS,1,AE,UK,UK,Aphididae,Hemiptera,Insecta,2
NATIVE_ERIFAS_1,N,ERIFAS,1,BS,UK,UK,UK,Diptera,Insecta,varies
